league,season,team,name,nation,pos,age,born,minute_90s,sca,sca_90,passlive_sca,passdead_sca,to_sca,sh_sca,fld_sca,def_sca,gca,gca_90,passlive_gca,passdead_gca,to_gca,sh_gca,fld_gca,def_gca
ENG-Premier League,1819,Bournemouth,Jordon Ibe,ENG,"MF,DF",22,1995,8.9,20,2.26,13,5,2,0,0,0,1,0.11,1,0,0,0,0,0
ENG-Premier League,1819,Bournemouth,Joshua King,NOR,"FW,MF",26,1992,32.9,83,2.52,61,0,10,3,9,0,12,0.36,9,0,0,0,3,0
ENG-Premier League,1819,Bournemouth,Junior Stanislas,ENG,"MF,FW",28,1989,11.5,39,3.4,29,4,2,2,1,1,4,0.35,4,0,0,0,0,0
ENG-Premier League,1819,Bournemouth,Lewis Cook,ENG,MF,21,1997,8.0,16,1.99,14,0,0,1,1,0,3,0.37,3,0,0,0,0,0
ENG-Premier League,1819,Bournemouth,Lys Mousset,FRA,FW,22,1996,4.1,10,2.45,7,0,2,1,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1819,Bournemouth,Mark Travers,IRL,GK,19,1999,2.0,1,0.5,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1819,Bournemouth,Nathan Aké,NED,DF,23,1995,37.9,24,0.63,19,0,0,4,1,0,1,0.03,0,0,0,0,1,0
ENG-Premier League,1819,Bournemouth,Nathaniel Clyne,ENG,DF,27,1991,12.7,12,0.94,10,2,0,0,0,0,3,0.24,3,0,0,0,0,0
ENG-Premier League,1819,Bournemouth,Ryan Fraser,SCO,"MF,FW",24,1994,35.2,149,4.24,90,43,8,4,4,0,21,0.6,11,8,2,0,0,0
ENG-Premier League,1819,Bournemouth,Sam Surridge,ENG,"MF,FW",20,1998,0.1,2,13.85,1,0,0,0,1,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1819,Bournemouth,Simon Francis,ENG,DF,33,1985,13.7,26,1.9,24,1,1,0,0,0,4,0.29,3,0,1,0,0,0
ENG-Premier League,1819,Bournemouth,Steve Cook,ENG,DF,27,1991,31.0,29,0.94,18,6,1,2,1,1,2,0.06,1,0,0,1,0,0
ENG-Premier League,1819,Bournemouth,Tyrone Mings,ENG,DF,25,1993,1.6,1,0.63,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1819,Brighton,Alireza Jahanbakhsh,IRN,"FW,MF",24,1993,11.3,21,1.86,10,4,2,1,2,2,2,0.18,0,1,0,1,0,0
ENG-Premier League,1819,Brighton,Anthony Knockaert,FRA,"MF,FW",26,1991,20.4,67,3.28,28,27,1,5,2,4,9,0.44,3,4,0,1,0,1
ENG-Premier League,1819,Brighton,Beram Kayal,ISR,MF,30,1988,10.4,9,0.86,7,0,0,1,0,1,2,0.19,2,0,0,0,0,0
ENG-Premier League,1819,Brighton,Bernardo,BRA,DF,23,1995,19.5,28,1.44,20,2,1,1,4,0,1,0.05,1,0,0,0,0,0
ENG-Premier League,1819,Brighton,Bruno,ESP,DF,37,1980,12.6,16,1.27,11,4,0,1,0,0,4,0.32,2,1,0,1,0,0
ENG-Premier League,1819,Brighton,Dale Stephens,ENG,MF,29,1989,27.6,41,1.48,35,1,0,2,2,1,3,0.11,3,0,0,0,0,0
ENG-Premier League,1819,Brighton,David Button,ENG,GK,29,1989,4.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1819,Brighton,Davy Pröpper,NED,MF,26,1991,28.3,41,1.45,38,0,1,0,1,1,2,0.07,2,0,0,0,0,0
ENG-Premier League,1819,Brighton,Florin Andone,ROU,FW,25,1993,9.8,13,1.33,7,0,1,3,2,0,1,0.1,0,0,0,1,0,0
ENG-Premier League,1819,Brighton,Gaëtan Bong,CMR,DF,30,1988,20.1,18,0.9,13,3,2,0,0,0,1,0.05,1,0,0,0,0,0
ENG-Premier League,1819,Brighton,Glenn Murray,ENG,FW,34,1983,27.9,35,1.26,23,0,0,3,9,0,2,0.07,1,0,0,0,1,0
ENG-Premier League,1819,Brighton,José Izquierdo,COL,"MF,FW",26,1992,8.8,15,1.7,12,0,1,1,1,0,3,0.34,1,0,0,1,1,0
ENG-Premier League,1819,Brighton,Jürgen Locadia,CUW,"FW,MF",24,1993,13.7,31,2.26,22,0,3,4,1,1,2,0.15,1,0,1,0,0,0
ENG-Premier League,1819,Brighton,Leon Balogun,NGA,DF,30,1988,6.6,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1819,Brighton,Lewis Dunk,ENG,DF,26,1991,35.0,21,0.6,20,0,0,0,1,0,2,0.06,2,0,0,0,0,0
ENG-Premier League,1819,Brighton,Martín Montoya,ESP,DF,27,1991,24.1,40,1.66,33,3,0,0,3,1,2,0.08,1,0,0,0,1,0
ENG-Premier League,1819,Brighton,Mathew Ryan,AUS,GK,26,1992,34.0,3,0.09,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1819,Brighton,Pascal Groß,GER,"MF,FW",27,1991,20.7,85,4.1,46,30,3,3,3,0,6,0.29,1,2,0,2,1,0
ENG-Premier League,1819,Brighton,Shane Duffy,IRL,DF,26,1992,34.3,24,0.7,18,1,0,2,2,1,3,0.09,2,0,0,0,1,0
ENG-Premier League,1819,Brighton,Solly March,ENG,"FW,MF",24,1994,27.4,85,3.1,46,11,15,6,6,1,8,0.29,5,1,0,0,2,0
ENG-Premier League,1819,Brighton,Yves Bissouma,MLI,MF,21,1996,19.7,54,2.74,35,1,10,2,6,0,2,0.1,1,0,0,0,1,0
ENG-Premier League,1819,Burnley,Aaron Lennon,ENG,MF,31,1987,13.5,20,1.48,12,0,1,0,7,0,1,0.07,1,0,0,0,0,0
ENG-Premier League,1819,Burnley,Ashley Barnes,ENG,FW,28,1989,26.5,51,1.92,30,0,0,9,11,1,6,0.23,2,0,0,3,1,0
ENG-Premier League,1819,Burnley,Ashley Westwood,ENG,MF,28,1990,31.4,83,2.65,58,17,1,3,4,0,12,0.38,10,1,0,1,0,0
ENG-Premier League,1819,Burnley,Ben Gibson,ENG,DF,25,1993,0.7,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1819,Burnley,Ben Mee,ENG,DF,28,1989,38.0,27,0.71,19,0,1,4,2,1,4,0.11,3,0,0,1,0,0
ENG-Premier League,1819,Burnley,Charlie Taylor,ENG,DF,24,1993,36.0,43,1.19,27,8,2,0,6,0,7,0.19,2,3,0,0,2,0
ENG-Premier League,1819,Burnley,Chris Wood,NZL,FW,26,1991,28.8,48,1.67,33,1,1,9,4,0,7,0.24,5,0,0,2,0,0
ENG-Premier League,1819,Burnley,Dwight McNeil,ENG,MF,18,1999,17.7,47,2.66,21,20,2,1,3,0,10,0.57,7,2,0,1,0,0
ENG-Premier League,1819,Burnley,Jack Cork,ENG,MF,29,1989,36.8,50,1.36,40,1,1,3,4,1,3,0.08,2,0,0,1,0,0
ENG-Premier League,1819,Burnley,James Tarkowski,ENG,DF,25,1992,34.3,27,0.79,20,0,0,6,1,0,3,0.09,2,0,0,1,0,0
ENG-Premier League,1819,Burnley,Jeff Hendrick,IRL,"MF,FW",26,1992,22.9,39,1.7,30,0,1,5,2,1,1,0.04,0,0,0,1,0,0
ENG-Premier League,1819,Burnley,Joe Hart,ENG,GK,31,1987,19.0,3,0.16,1,2,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1819,Burnley,Jóhann Berg Guðmundsson,ISL,MF,27,1990,19.5,71,3.65,40,17,1,8,5,0,9,0.46,6,1,0,2,0,0
ENG-Premier League,1819,Burnley,Kevin Long,IRL,DF,27,1990,5.7,2,0.35,2,0,0,0,0,0,1,0.18,1,0,0,0,0,0
ENG-Premier League,1819,Burnley,Matthew Lowton,ENG,DF,29,1989,19.4,22,1.13,18,2,1,1,0,0,1,0.05,1,0,0,0,0,0
ENG-Premier League,1819,Burnley,Matěj Vydra,CZE,FW,26,1992,3.5,8,2.26,6,0,0,2,0,0,3,0.85,3,0,0,0,0,0
ENG-Premier League,1819,Burnley,Peter Crouch,ENG,FW,37,1981,1.0,3,2.93,2,0,0,1,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1819,Burnley,Phil Bardsley,SCO,DF,33,1985,18.6,20,1.08,16,2,1,0,1,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1819,Burnley,Robbie Brady,IRL,MF,26,1992,8.0,25,3.12,15,6,1,0,2,1,1,0.12,0,1,0,0,0,0
ENG-Premier League,1819,Burnley,Sam Vokes,WAL,FW,28,1989,10.2,14,1.38,12,0,0,2,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1819,Burnley,Stephen Ward,IRL,DF,32,1985,2.5,3,1.18,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1819,Burnley,Steven Defour,BEL,MF,30,1988,5.0,6,1.2,6,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1819,Burnley,Tom Heaton,ENG,GK,32,1986,19.0,12,0.63,6,5,0,1,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1819,Cardiff City,Aron Gunnarsson,ISL,MF,29,1989,25.2,44,1.75,28,9,0,1,5,1,2,0.08,2,0,0,0,0,0
ENG-Premier League,1819,Cardiff City,Bobby Reid,JAM,"FW,MF",25,1993,15.8,37,2.34,25,0,3,5,4,0,7,0.44,4,0,1,2,0,0
ENG-Premier League,1819,Cardiff City,Bruno Ecuele Manga,GAB,DF,30,1988,37.5,24,0.64,17,3,0,3,1,0,4,0.11,3,0,0,1,0,0
ENG-Premier League,1819,Cardiff City,Callum Paterson,SCO,"FW,MF",23,1994,22.2,44,1.98,35,0,0,6,3,0,2,0.09,0,0,0,2,0,0
ENG-Premier League,1819,Cardiff City,Danny Ward,ENG,FW,26,1991,4.9,15,3.04,11,1,0,1,2,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1819,Cardiff City,Gary Madine,ENG,"FW,MF",27,1990,0.4,3,7.3,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1819,Cardiff City,Greg Cunningham,IRL,DF,27,1991,7.0,9,1.29,9,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1819,Cardiff City,Harry Arter,IRL,MF,28,1989,22.2,37,1.67,32,1,1,2,1,0,6,0.27,5,0,0,1,0,0
ENG-Premier League,1819,Cardiff City,Jazz Richards,WAL,"DF,MF",27,1991,1.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1819,Cardiff City,Joe Bennett,ENG,DF,28,1990,29.3,34,1.16,29,1,0,1,3,0,2,0.07,1,0,0,0,1,0
ENG-Premier League,1819,Cardiff City,Joe Ralls,ENG,MF,24,1993,21.8,61,2.8,28,26,1,4,1,1,2,0.09,0,2,0,0,0,0
ENG-Premier League,1819,Cardiff City,Josh Murphy,ENG,"MF,FW",23,1995,20.2,55,2.72,28,4,4,8,11,0,2,0.1,2,0,0,0,0,0
ENG-Premier League,1819,Cardiff City,Junior Hoilett,CAN,"MF,FW",28,1990,23.8,56,2.35,31,9,4,4,7,1,2,0.08,2,0,0,0,0,0
ENG-Premier League,1819,Cardiff City,Kadeem Harris,ENG,MF,25,1993,4.2,12,2.88,9,0,1,1,1,0,0,0.0,0,0,0,0,0,0
